time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-05-26T10:33:41.545Z,0.374,125.3894,67.53,4.9,mb,,62,2.016,1.07,us,us60003seb,2019-05-26T12:38:35.040Z,"115km SSE of Tondano, Indonesia",earthquake,5.6,8.7,0.08,49,reviewed,us,us
2019-05-26T09:49:31.628Z,56.2489,-149.9325,1.4,3.5,ml,,,,0.93,ak,ak0196pm459e,2019-05-27T10:06:56.999Z,"228km SE of Kodiak, Alaska",earthquake,,113.8,,,automatic,ak,ak
2019-05-26T09:34:16.542Z,66.3164,-157.5832,15,3.5,ml,,,,1.05,ak,ak0196pm0w35,2019-05-26T11:22:05.040Z,"71km SSW of Kobuk, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-05-26T09:07:08.526Z,36.5563,70.7549,220.42,4.4,mb,,99,1.212,0.96,us,us60003sdx,2019-05-26T11:40:22.040Z,"34km SSW of Jarm, Afghanistan",earthquake,7.6,7.7,0.138,15,reviewed,us,us
2019-05-26T08:35:23.860Z,19.963,-155.6403333,11.11,2.8,ml,57,114,0.08575,0.16,hv,hv70969231,2019-05-27T06:35:58.306Z,"7km SSE of Waimea, Hawaii",earthquake,0.34,0.38,0.177,28,reviewed,hv,hv
2019-05-26T08:31:13.460Z,19.167,-64.6371,52,2.95,md,14,335,1.587,0.56,pr,pr2019146006,2019-05-26T13:04:42.254Z,"83km N of Road Town, British Virgin Islands",earthquake,6.77,25.59,0.35,8,reviewed,pr,pr
2019-05-26T07:41:14.044Z,-5.796,-75.2975,109.88,8,mww,,18,3.212,1.31,us,us60003sc0,2019-05-28T16:56:41.557Z,"75km SSE of Lagunas, Peru",earthquake,5.9,4.6,0.036,75,reviewed,us,us
2019-05-26T07:12:07.234Z,-4.4931,139.0374,63.76,5,mb,,48,6.952,0.93,us,us60003sbv,2019-05-26T07:35:03.040Z,"223km NW of Tanahmerah, Indonesia",earthquake,9.4,7.3,0.05,129,reviewed,us,us
2019-05-26T06:50:06.839Z,52.1117,178.1457,46.3,3,ml,,,,0.42,ak,ak0196pkc20o,2019-05-26T21:02:57.845Z,"30km NW of Little Sitkin Island, Alaska",earthquake,,82.5,,,reviewed,ak,ak
2019-05-26T05:45:13.920Z,18.2401,-67.7168,5,2.71,md,5,316,0.6343,0.14,pr,pr2019146005,2019-05-26T08:25:51.159Z,"50km WSW of Rincon, Puerto Rico",earthquake,1.42,1.98,0.21,4,reviewed,pr,pr
2019-05-26T05:37:59.735Z,-3.4008,140.875,34.29,4.8,mb,,56,6.622,0.74,us,us60003sbf,2019-05-26T06:38:22.040Z,"90km SSE of Abepura, Indonesia",earthquake,8.5,5.6,0.058,92,reviewed,us,us
2019-05-26T05:09:10.626Z,23.2132,86.8956,10,4.7,mb,,99,6.206,0.65,us,us60003sb2,2019-05-28T16:34:36.338Z,"17km WSW of Bankura, India",earthquake,6.5,1.9,0.068,66,reviewed,us,us
2019-05-26T04:58:08.595Z,-19.3316,169.1911,117.78,4.7,mb,,111,3.649,0.51,us,us60003saz,2019-05-26T05:20:22.040Z,"25km NNW of Isangel, Vanuatu",earthquake,6.1,8.7,0.08,48,reviewed,us,us
2019-05-26T03:51:28.730Z,19.4491,-70.3975,10,4.3,mb,,123,0.312,1.36,us,us60003sac,2019-05-26T19:24:50.205Z,"5km NNW of Salsipuedes, Dominican Republic",earthquake,3.9,1.9,0.122,19,reviewed,us,us
2019-05-26T03:06:50.840Z,31.6424,-104.2118,5,2.5,ml,,63,0.329,0.27,us,us60003s9y,2019-05-26T03:30:58.040Z,"58km W of Mentone, Texas",earthquake,1.2,1.9,0.091,16,reviewed,us,us
2019-05-26T02:40:09.210Z,18.8695,-66.1001,28,2.72,md,11,287,0.5607,0.37,pr,pr2019146003,2019-05-26T07:56:13.002Z,"44km N of San Juan, Puerto Rico",earthquake,1.75,10.58,0.41,11,reviewed,pr,pr
2019-05-26T02:33:58.545Z,-19.2908,-177.3382,564.35,4.6,mb,,91,4.635,1.02,us,us60003sa1,2019-05-26T03:23:21.040Z,"207km NE of Ndoi Island, Fiji",earthquake,13.9,8,0.098,31,reviewed,us,us
2019-05-26T02:19:49.919Z,8.9166,93.7542,35,4.6,mb,,55,5.789,1.21,us,us60003s9g,2019-05-26T02:45:42.040Z,"115km NNE of Mohean, India",earthquake,9.8,1.9,0.094,34,reviewed,us,us
2019-05-26T02:09:27.220Z,30.3801,87.6166,10,4.8,mb,,83,2.513,1.35,us,us60003s9b,2019-05-26T05:43:37.241Z,"115km WSW of Jiajuedibu, China",earthquake,7,1.8,0.046,146,reviewed,us,us
2019-05-26T01:44:55.272Z,30.3248,87.6517,10,4.7,mb,,51,2.469,1.36,us,us60003s91,2019-05-26T02:05:23.040Z,"115km SW of Jiajuedibu, China",earthquake,7.3,1.3,0.061,83,reviewed,us,us
2019-05-26T01:25:27.446Z,60.2965,-149.1681,35.6,3,ml,,,,0.97,ak,ak0196ph7iof,2019-05-27T01:27:28.845Z,"36km NNE of Bear Creek, Alaska",earthquake,,1.5,,,automatic,ak,ak
2019-05-26T01:02:38.602Z,59.5344,-153.0176,96.1,2.5,ml,,,,0.56,ak,ak0196ph2m2w,2019-05-26T01:10:35.040Z,"72km WSW of Anchor Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-05-26T00:26:22.482Z,29.389,130.6721,28.37,4.7,mb,,110,3.31,1.09,us,us60003s8g,2019-05-26T00:41:23.040Z,"152km SSW of Nishinoomote, Japan",earthquake,6.7,5.6,0.058,91,reviewed,us,us
2019-05-26T00:05:46.710Z,18.9261,-64.8811,30,2.86,md,8,337,1.2455,0.33,pr,pr2019146000,2019-05-28T04:01:49.040Z,"56km NNW of Road Town, British Virgin Islands",earthquake,3.22,23.05,0.46,8,reviewed,pr,pr
